episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC
98,723,10317.105234194385,40,25,0,100,8236.593723385986,13.01060396496081,0,0,0.9313047487321344,1.5306592899953895,1.1987090825265099,0,0,0,83.32872291378517
99,775,12183.125144406225,40,25,0,100,9686.518767430392,6.84731182795699,0,0,0.41290322580645167,0.8344086021505377,0.1978494623655914,0,0,0,91.70752688172043
100,728,10485.608680897803,40,29,0,100,6382.2590272591315,9.07842157842158,0,0,0.6368631368631367,0.974025974025974,0.37462537462537465,0,0,0,88.93606393606395
101,788,12664.002779499919,40,29,0,100,6353.265868320923,1.7420396862021228,0,0,0.12690355329949238,1.6843562528841716,1.2228887863405629,0,0,0,95.22381172127365
102,728,10452.689555743831,40,26,0,100,8685.476042711158,13.785321821036106,0,0,0.7653061224489797,1.3540031397174255,0.7358712715855573,0,0,0,83.35949764521195
103,720,10114.960568078168,40,30,0,100,6151.319042766167,9.86111111111111,0,0,0.6111111111111112,1.0833333333333335,1.152777777777778,0,0,0,87.29166666666669
104,731,10612.83289911205,40,25,0,100,8973.465844625476,11.947104423164616,0,0,1.6598267213862292,2.4988600091199276,1.2038303693570451,0,0,0,82.69037847697219
105,729,8307.024032814943,40,28,1,98,7873.083504834573,10.962505715592135,0,0,1.5317786922725192,2.5034293552812072,1.3031550068587106,0,0,0,83.69913122999542
106,728,10582.876272999158,40,23,0,100,9059.352447759848,12.467679379444085,0,0,0.2908855850032322,1.2039431157078215,1.220103425985779,0,0,0,84.8173884938591
107,727,10421.017160503781,40,26,0,100,9139.262626307042,10.896050304578505,0,0,1.8471212418942817,1.296914914521517,0.26527805069758303,0,0,0,85.69463548830812
108,728,10462.97378234328,40,21,0,100,12730.442988045614,17.011278195488725,0.014459224985540775,0,1.4965297860034705,1.1133603238866399,0.7880277617119722,0,0,0,79.57634470792365
109,728,10334.879682892557,40,28,0,100,7923.550103748927,14.194139194139193,0.3434065934065934,0,2.3008241758241756,1.3736263736263736,0.9043040293040293,0,0,0,80.88369963369964
110,809,13206.51115352891,40,28,0,100,6719.44506152436,6.7367119901112495,0,0,1.1124845488257116,1.503914297486609,1.1330861145447053,0,0,0,89.51380304903172
111,812,13121.408482847428,40,28,0,100,9799.075949969712,9.729064039408867,0,0,3.643267651888342,0.8723316912972086,0.6362889983579638,0,0,0,85.11904761904762
112,725,10416.911182648699,40,24,0,100,9542.711073766506,14.14655172413793,0.02586206896551724,0,0.27586206896551724,1.896551724137931,1.9051724137931034,0,0,0,81.74999999999999
113,723,10365.805331256435,40,21,0,100,12255.123804757792,14.988716604789982,0,0,0.8371551284851129,0.7425202009172308,0.9245104462400814,0,0,0,82.50709761956757
114,862,14998.523096768804,40,27,0,100,8322.471270725337,15.75049080849545,0.14278065322148847,0,1.5527396037836874,1.9900053542744958,1.186864179903623,0,0,0,79.37711940032126
115,770,11732.241393452385,40,28,0,100,6973.693406510615,8.906926406926406,0.23809523809523808,0,2.37012987012987,1.4502164502164503,0.7467532467532467,0,0,0,86.28787878787878
116,801,12756.492946501323,40,28,0,100,6945.540231184471,7.74032459425718,0.04161464835622139,0,0.478568456096546,1.6957969205160217,0.4577611319184353,0,0,0,89.5859342488556
117,720,10394.884186309882,40,25,0,100,8389.539787327083,9.02777777777778,0,0,0.6759259259259263,1.9259259259259258,1.240740740740741,0,0,0,87.12962962962962
118,718,10257.71964828568,40,26,0,100,7106.270810407535,10.455630720254677,0,0,0.1392757660167131,1.8503780342220453,0.915240748109829,0,0,0,86.63947473139673
119,854,14378.284685752706,40,31,0,100,6426.386309080089,8.860265417642466,0.052042674993494666,0,4.774915430653136,0.8456934686442882,0.28623471246422066,0,0,0,85.18084829560239
120,727,10405.181089194888,40,24,0,100,8919.927760321683,15.34559834938102,0.14614855570839064,0,0.2922971114167813,1.736588720770289,1.2379642365887207,0,0,0,81.24140302613479
121,777,12207.22694068886,40,26,0,100,9128.155417783986,7.758779187350616,0,0,1.3973156830299687,1.0755653612796467,1.406508549365692,0,0,0,88.36183121897407
122,859,14729.800988918625,40,30,0,100,6738.716825120523,4.947613504074505,0.09313154831199069,0,0.18626309662398144,1.3736903376018628,0.15133876600698487,0,0,0,93.24796274738067
123,728,10299.103555492275,40,27,0,100,8523.80177715529,14.169484361792053,0.1584953508030431,0,1.2890955198647505,1.352493660185968,0.7819103972950128,0,0,0,82.24852071005917
124,712,9990.93688573527,40,24,0,100,8723.90230837914,12.579002808988765,0,0,0.1404494382022472,2.422752808988764,1.8872893258426968,0,0,0,82.97050561797752
125,994,19094.764990650525,40,33,0,100,5406.825239878283,5.77752227651624,0.0862316757688991,0,2.860017246335154,0.934176487496407,0.5173900546133946,0,0,0,89.82466225926991
126,726,10597.330401063064,40,24,0,100,9823.761788582928,12.749655647382921,0,0,1.0502754820936637,1.721763085399449,1.540977961432507,0,0,0,82.93732782369146
127,725,10395.433297039332,40,25,0,100,9046.004574977062,13.839080459770111,0.05517241379310345,0,0.7448275862068963,1.7195402298850575,1.3517241379310343,0,0,0,82.28965517241379
128,743,11038.680896905302,40,28,0,100,6999.744897037836,7.963212202781516,0,0,2.0973530731269627,0.9757738896366084,0.29161058770749215,0,0,0,88.67205024674743
129,729,8065.688486778163,40,29,1,98,7081.216787872429,17.608180571143535,0,0,2.618780396558174,2.36937273974311,1.0350417757825165,0,0,0,76.36862451677266
130,724,10416.785792569657,40,23,0,100,11774.887655539755,11.260968475788108,0,0,0.9506012349691255,1.3080922976925577,0.7637309067273318,0,0,0,85.71660708482288
131,987,16802.815681731136,40,30,1,98,7952.648989574674,11.7629179331307,0.1722391084093212,0,3.4650455927051667,1.2360688956433636,0.4761904761904762,0,0,0,82.88753799392097
132,715,10369.246536595077,40,17,0,100,12623.66105082463,10.440863484341746,0,0,0.21891152325934923,0.8817269686834905,0.9668592277287931,0,0,0,87.49163879598662
