episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC
90,2454,63665.01614581301,40,20,1,98,10534.990699980912,4.946006519967401,0,0,2.495925020374898,0.4839038304808476,1.0696821515892423,0,0,0,91.00448247758762
91,2863,74297.40130405627,40,22,2,96,6687.624765463213,5.833042263360112,0.43078356036791243,0,2.8815927348934682,0.5413901501921062,0.6112469437652812,0,0,0,89.70194434742112
92,2906,71842.88238153653,40,22,3,94,7828.275895485856,6.842165634319799,0.040146822665749024,0,1.4338150952053226,0.3670566643725625,0.5391144757972011,0,0,0,90.77770130763936
93,2362,60098.71859077182,40,18,1,98,12140.415098987905,5.690093141405589,0,0,1.104995766299746,0.9737510584250636,1.1727349703640981,0,0,0,91.0584250635055
94,2837,74990.51681349958,40,21,1,98,8939.028852822108,5.216778286922806,0,0,3.1723651744800847,0.21652651190895816,0.4179465229870588,0,0,0,90.9763835037011
95,2845,71760.09936607735,40,21,1,98,10711.96281886091,5.588752196836555,0,0,2.8722068792367565,0.45694200351493847,0.7280944012051218,0,0,0,90.35400451920664
96,5000,136313.18056409454,39,26,2,96,2883.072800871746,3.63,71.21000000000001,0,4.02,0,0.11,0,0,0,21.03
97,2941,78028.92383529438,40,23,1,98,5318.72722696526,2.257735464127848,0,0,2.3733424005440327,0.3672220333219993,0.42842570554233256,0,0,0,94.5732743964638
98,5000,131865.1413164909,39,26,5,90,2625.3127277590565,2.1199999999999997,70.64000000000001,0,3.75,0.15,0,0,0,0,23.34
99,2348,57689.40062790851,40,19,2,96,10116.455741154266,5.815824342229794,0,0,1.81241718720424,0.8754495551769829,1.485898163922014,0,0,0,90.01041075146696
100,2868,72236.05220943356,40,23,3,94,7996.551662723633,5.369595536959554,0,0,1.799163179916318,0.2580195258019526,0.46722454672245467,0,0,0,92.10599721059972
101,2963,74698.45037855807,40,26,3,94,2967.7601531342466,4.303071211609855,16.38542018224772,0,4.235572055349309,0.15187310158623016,0,0,0,0,74.92406344920688
102,2876,68531.22783374198,40,23,4,92,7428.340048252102,7.280945757997218,0,0,3.699582753824757,0.22253129346314326,0.4381084840055633,0,0,0,88.35883171070931
103,2957,73041.65012837766,40,24,4,92,3834.5019996024266,1.8177206628339533,0,0,1.2766317213391951,0.34663510314507945,0.7355427798444368,0,0,0,95.82346973283732
104,2935,77186.96354646127,40,24,2,96,4839.815689629877,3.5434412265758093,0,0,2.7597955706984667,0.4088586030664395,0.017035775127768313,0,0,0,93.2708688245315
105,2983,73652.24857901385,40,24,4,92,4275.681081983726,2.7237680187730473,0.20952061682869594,0,1.4750251424740195,0.6034193764666445,0.12571237009721759,0,0,0,94.86255447536037
106,3420,69663.71393485767,40,26,12,76,1974.1077279155725,6.1988304093567255,76.05263157894737,0,2.93859649122807,0.014619883040935673,0.029239766081871347,0,0,0,14.76608187134503
107,3420,72244.70538215071,40,26,12,76,1269.3641572606698,1.871345029239766,79.86842105263159,0,2.807017543859649,0.2923976608187135,1.1257309941520468,0,0,0,14.035087719298245
108,3381,90954.41105081975,40,25,2,96,3934.4210096960405,0.9859016070196194,0,0,1.1535048802129546,0.16760327319333526,0.13802622498274672,0,0,0,97.55496401459135
109,2426,64537.845728857596,40,20,0,100,8884.733514258034,6.703421269579555,0,0,1.3190436933223413,0.5100989282769992,1.236603462489695,0,0,0,90.23083264633141
110,3420,82328.30407883269,40,26,8,84,2713.194010625452,9.459064327485379,67.26608187134502,0,4.298245614035087,1.301169590643275,1.4035087719298245,0,0,0,16.271929824561404
111,2894,78610.90395589313,40,23,0,100,5323.503110772416,2.4187975120939877,0,0,2.1354526606772635,0.32480995162404974,0.2971665514858328,0,0,0,94.82377332411886
112,2926,79542.58888868902,40,26,0,100,3484.4865467983905,4.511278195488722,13.77306903622693,0,4.9555707450444295,0.2734107997265892,0.4955570745044429,0,0,0,75.9911141490089
113,2880,76323.05817728491,40,21,1,98,8706.07094746672,3.0357142857142856,0,0,2.013888888888889,0.44146825396825395,0.873015873015873,0,0,0,93.6359126984127
114,2858,79431.46724902916,40,22,0,100,7302.123773736482,2.9391182645206437,0,0,1.4345696291112666,1.0380219267553068,2.2043386983904827,0,0,0,92.38395148122231
115,5000,133311.87404568846,39,26,5,90,2343.6845188579664,1.34,61.709999999999994,0,2.6900000000000004,0,0.06,0,0,0,34.2
116,2894,76375.23449801447,40,22,3,94,6263.943683506669,4.209859479382631,0,0,1.336097673347155,0.414651002073255,0.33978346003225063,0,0,0,93.69960838516471
117,3393,80125.7801074713,40,26,6,88,3538.9751834615026,4.936634246979075,3.551429413498379,0,2.770409666961391,0.11788977306218684,0.17683465959328026,0,0,0,88.44680223990568
118,2943,79485.23654277886,40,24,1,98,5163.4647333024295,4.36629289840299,0,0,1.7753992524634727,0.2973156642881414,0.8409785932721713,0,0,0,92.72001359157322
119,3246,84217.58377761564,40,24,2,96,5483.526581526616,4.775107825015404,8.271719038817006,0,2.3490449784349967,0.6623536660505237,0.7162661737523105,0,0,0,83.22550831792977
120,2481,63097.18232949055,40,22,1,98,8296.038609217083,4.41354292623942,0,0,1.4980518608088138,0.752384791078866,0.9136101034529088,0,0,0,92.42241031841999
121,2926,74603.07690291284,40,26,2,96,3518.9496458171416,2.460697197539303,27.22146274777854,0,4.6992481203007515,0.7347915242652084,0.10252904989747096,0,0,0,64.78127136021874
